Trial,N,Source,Drug,Target,Cancer type,Dose,Cutoff,Pneumonitis
69,23,2017-Doi-J Clin Oncol,Pembrolizumab,PD-1,GI cancer,10 mg/kg Q2W,0,NA
70,24,2017-Frenel-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,10 mg/kg Q2W,1,NA
71,947,2017-Gangadhar-J Immunother,Pembrolizumab,PD-1,Melanoma,2 mg/kg Q3W,0,NA
72,27,2017-Hsu-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,10 mg/kg Q2W,1,2
73,24,2017-Ott-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,10 mg/kg Q2W,0,NA
74,25,2017-Ott-Ann Oncol,Pembrolizumab,PD-1,GI cancer,10 mg/kg Q2W,0,NA
75,24,2017-Ott-J Clin Oncol2,Pembrolizumab,PD-1,Lung cancer,10 mg/kg Q2W,1,NA
76,23,2017-O'Neil-PLoS One,Pembrolizumab,PD-1,GI cancer,10 mg/kg Q2W,0,NA
77,33,2017-Plimack-Lancet Oncol,Pembrolizumab,PD-1,GU cancer,10 mg/kg Q2W,3,NA
78,555,2017-Schachter-Lancet,Pembrolizumab,PD-1,Melanoma,10 mg/kg Q2W,27,NA
78,NA,2017-Schachter-Lancet,Pembrolizumab,PD-1,Melanoma,10 mg/kg Q3W,27,NA
79,84,2017-Tawbi-Lancet Oncol,Pembrolizumab,PD-1,Other cancer,200 mg Q3W,0,0
79,NA,2017-Tawbi-Lancet Oncol,Pembrolizumab,PD-1,Other cancer,200 mg Q3W,0,1
80,42,2017-Yamazaki-Cancer Chemother Pharmacol,Pembrolizumab,PD-1,Melanoma,2 mg/kg Q3W,1,NA
81,18,2017-Zinzani-Blood,Pembrolizumab,PD-1,Hematologic malignancy,mixed,0,NA
82,107,2018-Adams-Ann Oncol,Pembrolizumab,PD-1,Other cancer,200 mg Q3W,5,1
83,12,2018-Adra-Ann Oncol,Pembrolizumab,PD-1,GU cancer,200 mg Q3W,0,NA
84,33,2018-Cho-J Clin Oncol,Pembrolizumab,PD-1,Other cancer,200 mg Q3W,1,NA
85,26,2018-Cohen-Am J Clin Oncol,Pembrolizumab,PD-1,Other cancer,10 mg/kg Q2W,0,NA
86,246,2018-Cohen-Lancet,Pembrolizumab,PD-1,Other cancer,200 mg Q3W,24,3
87,509,2018-Eggermont-N Engl J Med,Pembrolizumab,PD-1,Melanoma,200 mg Q3W,50,4
88,259,2018-Fuchs-JAMA Oncol,Pembrolizumab,PD-1,GI cancer,200 mg Q3W,12,NA
89,45,2018-Gadgeel-J Thorac Oncol,Pembrolizumab,PD-1,Lung cancer,200 mg Q3W,4,NA
90,40,2018-Giaccone-Lancet Oncol,Pembrolizumab,PD-1,Other cancer,200 mg Q3W,0,NA
91,23,2018-Hansen-Ann Oncol,Pembrolizumab,PD-1,GU cancer,10 mg/kg Q2W,0,NA
92,50,2018-Necchi-J Clin Oncol,Pembrolizumab,PD-1,GU cancer,200 mg Q3W,0,0
93,25,2018-Rugo-Clin Cancer Res,Pembrolizumab,PD-1,Other cancer,10 mg/kg Q2W,0,NA
94,294,2018-Shitara-Lancet,Pembrolizumab,PD-1,GI cancer,200 mg Q3W,29,2
95,104,2018-Zhu-Lancet Oncol,Pembrolizumab,PD-1,GI cancer,200 mg Q3W,0,NA
96,277,2014-Herbst-Nature,Atezolizumab,PD-L1,Mixed cancer types,mixed,1,NA
97,142,2016-Fehrenbacher-Lancet,Atezolizumab,PD-L1,Lung cancer,1200 mg Q3W,14,1
98,70,2016-McDermott-J Clin Oncol,Atezolizumab,PD-L1,GU cancer,mixed,0,0
99,310,2016-Rosenberg-Lancet,Atezolizumab,PD-L1,GU cancer,1200 mg Q3W,0,2
100,119,2017-Balar-Lancet,Atezolizumab,PD-L1,GU cancer,1200 mg Q3W,0,NA
101,6,2016-Mizugaki-Invest New Drugs,Atezolizumab,PD-L1,Mixed cancer types,10 mg/kg Q3W,1,NA
101,NA,2016-Mizugaki-Invest New Drugs,Atezolizumab,PD-L1,Mixed cancer types,20 mg/kg Q3W,1,NA
102,659,2017-Peters-J Clin Oncol,Atezolizumab,PD-L1,Lung cancer,1200 mg Q3W,32,11
103,609,2017-Rittmeyer-Lancet,Atezolizumab,PD-L1,Lung cancer,1200 mg Q3W,60,NA
104,32,2018-Colevas-Ann Oncol,Atezolizumab,PD-L1,Other cancer,mixed,0,NA
105,116,2018-Emens-JAMA Oncol,Atezolizumab,PD-L1,Other cancer,mixed,3,NA
106,89,2018-Horn-Eur J Cancer,Atezolizumab,PD-L1,Lung cancer,mixed,4,NA
107,16,2018-Lukas-J Neurooncol,Atezolizumab,PD-L1,Other cancer,2000 mg Q3W,0,NA
108,103,2018-McDermott-Nat Med,Atezolizumab,PD-L1,GU cancer,1200 mg Q3W,20,0
109,95,2018-Petrylak-JAMA Onc,Atezolizumab,PD-L1,GU cancer,mixed,0,NA
110,459,2018-Powles-Lancet,Atezolizumab,PD-L1,GU cancer,1200 mg Q3W,9,NA
111,88,2016-Kaufman-Lancet Oncol,Avelumab,PD-L1,Other cancer,10 mg/kg Q2W,0,0
112,44,2017-Apolo-J Clin Oncol,Avelumab,PD-L1,GU cancer,10 mg/kg Q2W,0,0
113,184,2017-Gulley-Lancet Oncol,Avelumab,PD-L1,Lung cancer,10 mg/kg Q2W,0,1
114,15,2017-Heery-Lancet Oncol,Avelumab,PD-L1,Mixed cancer types,10 mg/kg Q2W,0,NA
115,184,2018-Bang-Ann Oncol,Avelumab,PD-L1,GI cancer,10 mg/kg Q2W,1,NA
116,393,2018-Barlesi-Lancet Oncol,Avelumab,PD-L1,Lung cancer,10 mg/kg Q2W,3,NA
117,39,2018-DAngelo-JAMA Oncol,Avelumab,PD-L1,Other cancer,10 mg/kg Q2W,0,NA
118,168,2018-Dirix-Breast Cancer Res Treat,Avelumab,PD-L1,Other cancer,10 mg/kg Q2W,0,1
119,25,2018-Le Tourneau-J Immunother Cancer,Avelumab,PD-L1,Other cancer,10 mg/kg Q2W,0,1
120,61,2016-Massard-J Clin Oncol,Durvalumab,PD-L1,GU cancer,10 mg/kg Q2W,0,NA
121,475,2017-Antonia-N Engl J Med,Durvalumab,PD-L1,Lung cancer,10 mg/kg Q2W,23,6
122,970,2017-Powles-JAMA Oncol,Durvalumab,PD-L1,Mixed cancer types,10 mg/kg Q2W,0,NA
122,NA,2017-Powles-JAMA Oncol,Durvalumab,PD-L1,GU cancer,10 mg/kg Q2W,0,NA
123,444,2018-Garassino-Lancet Oncol,Durvalumab,PD-L1,Lung cancer,10 mg/kg Q2W,0,4
124,11,2018-Necchi-Eurology,Durvalumab,PD-L1,GU cancer,1500 mg Q4W,0,0
125,65,2018-Siu-JAMA Oncol,Durvalumab,PD-L1,Other cancer,10 mg/kg Q2W,1,NA
